name,year,duration,genre,rate,is_mature,movie_url
Jurassic World: Fallen Kingdom,2018,,"Action,Adventure,Sci-Fi",6.1,PG-13,https://www.imdb.com/title/tt4881806/?ref_=adv_li_tt
Mr. Mercedes,2017–2019,"1,h","Crime,Drama,Mystery",7.8,TV-MA,https://www.imdb.com/title/tt4354880/?ref_=adv_li_tt
Kindred,2022,"42,m","Drama,Fantasy,Mystery",7.4,TV-MA,https://www.imdb.com/title/tt14376190/?ref_=adv_li_tt
Solo: A Star Wars Story,2018,,"Action,Adventure,Sci-Fi",6.9,PG-13,https://www.imdb.com/title/tt3778644/?ref_=adv_li_tt
The Legend of Korra,2012–2014,"23,m","Animation,Action,Adventure",8.4,TV-PG,https://www.imdb.com/title/tt1695360/?ref_=adv_li_tt
Back to the Future Part II,1989,,"Adventure,Comedy,Sci-Fi",7.8,PG,https://www.imdb.com/title/tt0096874/?ref_=adv_li_tt
Inside Job,2021–2022,"30,m","Animation,Comedy,Fantasy",7.7,TV-14,https://www.imdb.com/title/tt10231312/?ref_=adv_li_tt
Significant Other,2022,,"Drama,Mystery,Sci-Fi",5.7,R,https://www.imdb.com/title/tt15353964/?ref_=adv_li_tt
Ms. Marvel,2022,"4,h, ,31,m","Action,Adventure,Comedy",6.2,TV-PG,https://www.imdb.com/title/tt10857164/?ref_=adv_li_tt
Transformers: The Last Knight,2017,,"Action,Adventure,Sci-Fi",5.2,PG-13,https://www.imdb.com/title/tt3371366/?ref_=adv_li_tt
Babylon 5,1993–1998,"45,m","Action,Adventure,Drama",8.4,TV-PG,https://www.imdb.com/title/tt0105946/?ref_=adv_li_tt
Vanilla Sky,2001,,"Fantasy,Mystery,Romance",6.9,R,https://www.imdb.com/title/tt0259711/?ref_=adv_li_tt
Star Wars: Episode III - Revenge of the Sith,2005,,"Action,Adventure,Fantasy",7.6,PG-13,https://www.imdb.com/title/tt0121766/?ref_=adv_li_tt
Doctor Strange,2016,,"Action,Adventure,Fantasy",7.5,PG-13,https://www.imdb.com/title/tt1211837/?ref_=adv_li_tt
Castle Rock,2018–2019,"1,h","Drama,Fantasy,Horror",7.5,TV-MA,https://www.imdb.com/title/tt6548228/?ref_=adv_li_tt
Finch,2021,,"Adventure,Drama,Sci-Fi",6.9,PG-13,https://www.imdb.com/title/tt3420504/?ref_=adv_li_tt
Stargirl,2020–2022,"9,h, ,26,m","Action,Adventure,Crime",7.2,TV-PG,https://www.imdb.com/title/tt8722888/?ref_=adv_li_tt
The Lego Movie,2014,,"Animation,Action,Adventure",7.7,PG,https://www.imdb.com/title/tt1490017/?ref_=adv_li_tt
Mila in the Multiverse,2023– ,,"Adventure,Comedy,Drama",5,,https://www.imdb.com/title/tt15551300/?ref_=adv_li_tt
Unbreakable,2000,,"Drama,Mystery,Sci-Fi",7.3,PG-13,https://www.imdb.com/title/tt0217869/?ref_=adv_li_tt
Men in Black II,2002,,"Action,Adventure,Comedy",6.1,PG-13,https://www.imdb.com/title/tt0120912/?ref_=adv_li_tt
Cloud Atlas,2012,,"Drama,Mystery,Sci-Fi",7.4,R,https://www.imdb.com/title/tt1371111/?ref_=adv_li_tt
Lucy,2014,,"Action,Sci-Fi,Thriller",6.4,R,https://www.imdb.com/title/tt2872732/?ref_=adv_li_tt
The Incredible Hulk,2008,,"Action,Adventure,Sci-Fi",6.6,PG-13,https://www.imdb.com/title/tt0800080/?ref_=adv_li_tt
Cloverfield,2008,,"Action,Adventure,Horror",7,PG-13,https://www.imdb.com/title/tt1060277/?ref_=adv_li_tt
Cloudy with a Chance of Meatballs,2009,,"Animation,Adventure,Comedy",6.9,PG,https://www.imdb.com/title/tt0844471/?ref_=adv_li_tt
Sweet Tooth,2021– ,,"Action,Adventure,Drama",7.8,TV-14,https://www.imdb.com/title/tt12809988/?ref_=adv_li_tt
Warehouse 13,2009–2014,"43,m","Drama,Mystery,Sci-Fi",7.6,TV-14,https://www.imdb.com/title/tt1132290/?ref_=adv_li_tt
The Faculty,1998,,"Horror,Mystery,Sci-Fi",6.6,R,https://www.imdb.com/title/tt0133751/?ref_=adv_li_tt
Jumper,2008,,"Action,Adventure,Sci-Fi",6.1,PG-13,https://www.imdb.com/title/tt0489099/?ref_=adv_li_tt
11.22.63,2016,"1,h","Drama,Mystery,Romance",8.1,TV-MA,https://www.imdb.com/title/tt2879552/?ref_=adv_li_tt
The Happening,2008,,"Adventure,Drama,Sci-Fi",5,R,https://www.imdb.com/title/tt0949731/?ref_=adv_li_tt
Close Encounters of the Third Kind,1977,,"Drama,Sci-Fi",7.6,PG,https://www.imdb.com/title/tt0075860/?ref_=adv_li_tt
Blast from the Past,1999,,"Comedy,Drama,Romance",6.7,PG-13,https://www.imdb.com/title/tt0124298/?ref_=adv_li_tt
The Imperfects,2022,"45,m","Action,Adventure,Drama",6.4,TV-MA,https://www.imdb.com/title/tt14502728/?ref_=adv_li_tt
Sunshine,2007,,"Sci-Fi,Thriller",7.2,R,https://www.imdb.com/title/tt0448134/?ref_=adv_li_tt
Spider-Man 3,2007,,"Action,Adventure,Sci-Fi",6.3,PG-13,https://www.imdb.com/title/tt0413300/?ref_=adv_li_tt
Incredibles 2,2018,,"Animation,Action,Adventure",7.6,PG,https://www.imdb.com/title/tt3606756/?ref_=adv_li_tt
Escape Room,2019,,"Action,Adventure,Horror",6.4,PG-13,https://www.imdb.com/title/tt5886046/?ref_=adv_li_tt
Downsizing,2017,,"Drama,Fantasy,Sci-Fi",5.8,R,https://www.imdb.com/title/tt1389072/?ref_=adv_li_tt
The Dead Don't Die,2019,,"Comedy,Fantasy,Horror",5.4,R,https://www.imdb.com/title/tt8695030/?ref_=adv_li_tt
A Cure for Wellness,2016,,"Drama,Fantasy,Horror",6.4,R,https://www.imdb.com/title/tt4731136/?ref_=adv_li_tt
Spy Kids,2001,,"Action,Adventure,Comedy",5.6,PG,https://www.imdb.com/title/tt0227538/?ref_=adv_li_tt
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,,"Animation,Action,Adventure",,,https://www.imdb.com/title/tt8589698/?ref_=adv_li_tt
Lilo & Stitch,2002,,"Animation,Adventure,Comedy",7.3,PG,https://www.imdb.com/title/tt0275847/?ref_=adv_li_tt
Godzilla: King of the Monsters,2019,,"Action,Adventure,Fantasy",6,PG-13,https://www.imdb.com/title/tt3741700/?ref_=adv_li_tt
The Guardians of the Galaxy: Holiday Special,2022,"41,m","Action,Adventure,Comedy",6.9,TV-14,https://www.imdb.com/title/tt13623136/?ref_=adv_li_tt
Spaceballs,1987,,"Adventure,Comedy,Sci-Fi",7.1,PG,https://www.imdb.com/title/tt0094012/?ref_=adv_li_tt
Pokémon: Detective Pikachu,2019,,"Action,Adventure,Comedy",6.5,PG,https://www.imdb.com/title/tt5884052/?ref_=adv_li_tt
Transformers: Revenge of the Fallen,2009,,"Action,Adventure,Sci-Fi",5.9,PG-13,https://www.imdb.com/title/tt1055369/?ref_=adv_li_tt
Secret Headquarters,2022,,"Action,Adventure,Comedy",5.1,PG,https://www.imdb.com/title/tt14001894/?ref_=adv_li_tt
Big Hero 6,2014,,"Animation,Action,Adventure",7.8,PG,https://www.imdb.com/title/tt2245084/?ref_=adv_li_tt
Resident Evil: Welcome to Raccoon City,2021,,"Action,Horror,Sci-Fi",5.2,R,https://www.imdb.com/title/tt6920084/?ref_=adv_li_tt
Lost in Space,1965–1968,"1,h","Adventure,Comedy,Family",7.2,TV-G,https://www.imdb.com/title/tt0058824/?ref_=adv_li_tt
Vivarium,2019,,"Horror,Mystery,Sci-Fi",5.8,R,https://www.imdb.com/title/tt8368406/?ref_=adv_li_tt
Galaxy Quest,1999,,"Adventure,Comedy,Sci-Fi",7.4,PG,https://www.imdb.com/title/tt0177789/?ref_=adv_li_tt
Source Code,2011,,"Action,Drama,Mystery",7.5,PG-13,https://www.imdb.com/title/tt0945513/?ref_=adv_li_tt
X-Men: First Class,2011,,"Action,Sci-Fi",7.7,PG-13,https://www.imdb.com/title/tt1270798/?ref_=adv_li_tt
WarGames,1983,,"Action,Drama,Sci-Fi",7.1,PG,https://www.imdb.com/title/tt0086567/?ref_=adv_li_tt
Red Dwarf,1988– ,"30,m","Comedy,Sci-Fi",8.4,TV-14,https://www.imdb.com/title/tt0094535/?ref_=adv_li_tt
Glitch,2015–2019,"45,m","Drama,Horror,Sci-Fi",7.2,TV-MA,https://www.imdb.com/title/tt4192782/?ref_=adv_li_tt
Splice,2009,,"Horror,Sci-Fi",5.8,R,https://www.imdb.com/title/tt1017460/?ref_=adv_li_tt
